ο	ο articlem sg<br>(definite) the
μεγάλος	μεγάλος adjective<br>big, large, great (of greater than average size)<br>tall, high (of greater than average height)<br>big, great (of greater than average intensity)<br>long (of greater than average length of time)<br>adult, grown-up (having reached the adult age)<br>old, elderly (having reached an advanced age)<br>big, great (important, superior or famous)<br>(typography, of letters) uppercase, capital
γίνομαι	γίνομαι verb<br>(most senses) become<br>(most senses) happen<br>Plant and fruit senses.<br>(only in third person singular form, with να) be (possible), can, may
πολύ	πολύ adjective<br>Accusative singular masculine form of πολύς (polýs).<br>Nominative singular neuter form of πολύς (polýs).<br>Accusative singular neuter form of πολύς (polýs).<br><br>πολύ adverb<br>very, too, long
υπάρχω	υπάρχω verb<br>exist, be, live
ως	ως adverb<br>as<br><br>ως preposition<br>(position): to, as far as<br>(time): until, before, by
νέος	νέος adjective<br>young, youthful<br>modern, new
κατά	κατά preposition<br>(with genitive) versus, against<br>(with accusative) towards<br>(with accusative) during<br>(with accusative) around, about, close to<br>(with accusative) according
πρέπει	πρέπει verbimpersonal<br>must, have to, ought
χρόνος	χρόνος noun<br>(abstract) time (with no plural)<br>year<br>(grammar) tense<br>volume (issues of a periodical over a period of one year)
βρίσκω	βρίσκω verb<br>find, discover, locate
όμως	όμως conjunction<br>however, but
ακόμα	ακόμα adverb<br>yet, still<br>more, remaining, other<br>even (+ και)<br>even if (+ και αν, και να or και όταν; when followed by a concessive clause)
πως	πως conjunction<br>that (introducing a clause)
μη(ν)	μη(ν) particle<br>not (with subjunctive verbs)
κάποιος	κάποιος pronounm  a specific indefinite pronoun and determiner<br>someone, somebody (substantivally; as a "pronoun")<br>some (adjectivally; as a "determiner")
κ	κ initialism<br>Abbreviation of κύριος (kýrios): Mr<br>Abbreviation of κυρία (kyría): Mrs, Ms
πιο	πιο adverb<br>more
πρώτος	πρώτος adjective<br>(ordinal numeral) first
ίδιος	ίδιος adjective<br>(for emphasis): own<br>(number, size, etc): identical<br>(similarity): same, similar
δύο	δύο two
μόνο	μόνο adverb<br>only<br>just<br><br>μόνο conjunction<br>but<br><br>μόνο adjective<br>Accusative singular masculine form of μόνος (mónos).<br>Nominative, accusative and vocative singular neuter form of μόνος (mónos).
μετά	μετά adverb<br>afterwards, later<br>(with από and accusative): after<br><br>μετά conjunction<br>so, therefore (for consecutive statements)<br><br>μετά preposition<br>(with accusative): after<br>(with genitive): with (accompanying)<br>(with genitive): with (manner)
όταν	όταν conjunction<br>when, while, during, whenever, if
καλός	καλός adjective<br>good<br>nice, likeable<br><br>καλός noun<br>the good man<br>goodie, goody<br>sweetheart
βλέπω	βλέπω verb<br>(most senses) see, watch, look at<br>(transitive) consider, think of, see (give an assessment or opinion)<br>(transitive) scrutinise, look into (examine in more detail)<br>(medicine, transitive) examine (of a doctor)<br>(transitive, of inanimate things) face, overlook (look out onto, as in a view)
κάθε	κάθε determiner<br>(individual): every, each<br>(whatever): any<br>(repetition): every, each<br>(derigatory): any
τι	τι pronouninterrogative<br>what<br>(rhetorical, for stress): how, what<br>anything, something, a little<br><br>τι interjection<br>what<br><br>τι pronoun<br>(formal, archaic) Nominative and accusative singular neuter form of τις (tis).
δίνω	δίνω verb<br>give (pass something; transfer ownership)<br>give, hold (an event)
θέλω	θέλω verb<br>(most senses) want, desire, will<br>(transitive, most senses) need, require<br>(intransitive, most senses) intend, mean to, want to (have the intention of)<br>(transitive) owe (money, etc)<br>(transitive) have (depict as being)<br>(with two instances in the second person singular θες) either ... or<br>(transitive) favour (be lucky at something)
ενώ	ενώ conjunction<br>while, as long as, as<br>although, though, whereas, while<br>despite, although<br>since, although
γιατί	γιατί adverb<br>(interrogative) why<br><br>γιατί conjunction<br>because<br><br>γιατί noun<br>why
χώρα	χώρα noun<br>(geography) country, land (the state, its people, a region of a country)<br>(geography) main town or village<br><br>χώρα verb<br>2nd person singular imperfective imperative form of χωρώ (choró).<br>2nd person singular perfective imperative form of χωρώ (choró).
όχι	όχι adverb<br>no (negative reply)<br>no (negation)<br>not, in elliptical clauses<br><br>όχι noun<br>no
προς	προς preposition<br>(positional) towards, toward<br>(temporal) towards
ελληνικός	ελληνικός adjective<br>Greek (related to the country, people or language of Greece)
μέσα	μέσα adverb<br>in, inside (something)<br>in, through (a situation)<br>in, through (involvement)<br>(with prepositions)<br>(informal) as affirmative response, certainly<br>As preposition:<br><br>μέσα adjective<br>inner<br><br>μέσα adjective<br>Nominative, accusative and vocative plural neuter form of μέσος (mésos).<br><br>μέσα noun<br>the inside, inner part<br>(figuratively)<br><br>μέσα nounn<br>Nominative, accusative and vocative plural form of μέσο (méso).<br>Nominative, accusative and vocative plural form of μέσον (méson).<br>the media, means<br>the middle parts (of space or time)<br>(figuratively) connections
άνθρωπος	άνθρωπος noun<br>a human; person; the species man
ομάδα	ομάδα noun<br>group, bunch, gang (of people or friends)<br>panel (interview panel, panel of judges)<br>(sports) team<br>(chemistry) group in the periodic table<br>(military) squad
κανένας	κανένας pronounm  may also act as a determiner<br>nobody, no one (not any person; the logical negation of somebody)<br>anyone, anybody
παίρνω	παίρνω verb<br>take, get, move<br>gain
καθώς	καθώς conjunction<br>as, while<br>since, seeing as, because
μέχρι	μέχρι preposition<br>until, till, til, 'til<br>until, as far as
πολιτικός	πολιτικός adjective<br>political, civic, civilian<br><br>πολιτικός noun<br>politician (one engaged in politics)
παιδί	παιδί noun<br>child, kid
χωρίς	χωρίς preposition<br>without
σήμερα	σήμερα adverb<br>today<br><br>σήμερα noun<br>the present, today
έτσι	έτσι adverb<br>thus; like this; like that.<br>(colloquial) for no reason or for no money<br><br>έτσι noun<br>(colloquial) (always with article) indicates a known person
ζωή	ζωή noun<br>life<br>lifetime
όσο	όσο pronoun<br>Accusative singular masculine form of όσος (ósos).<br>Nominative and accusative singular neuter form of όσος (ósos).
λόγος	λόγος noun<br>word (unit of language)<br>word (word of honour)<br>speech, language<br>speech, oration<br>(mathematics) ratio<br>reason, causation
Ελλάς	Ελλάς noun f<br>Greece
θέμα	θέμα noun<br>subject, main topic (of conversation, etc)<br>affair<br>(music) theme<br>theme, the regional unit of government of the Byzantine empire.
φορά	φορά noun<br>time (instance or occurrence)<br>(mathematics) times<br>speed, impetus
θέση	θέση noun<br>position (a place, location)<br>job, post<br>station, status
τρόπος	τρόπος noun<br>method, manner, behaviour, conduct<br>(plural): manners<br>knack
επίσης	επίσης adverb<br>also, too, likewise
κόσμος	κόσμος noun<br>(astronomy) Universe, cosmos<br>world; planet Earth<br>(collective, in the singular) society, people, the masses<br>a group of people (geographically, historically, socially)
τελευταίος	τελευταίος adjective<br>last<br>recent, latest<br>lowest, least important, least effective<br>latter<br>(noun) last remaining, ultimate
κάτι	κάτι pronoun<br>something
αποτελώ	αποτελώ verb<br>constitute, consist of, make up
όπου	όπου adverb<br>where<br>that<br>when
μικρός	μικρός adjective<br>small, little<br>short (in length)<br>young<br><br>μικρός noun<br>(anatomy) little finger<br>boy
πρόβλημα	πρόβλημα noun<br>problem, trouble<br>(mathematics) problem, sum
α	α interjection<br>Expresses wonder, surprise or joy; ah, ooh, oh, wow:<br>Expresses desire or wish; oh:<br>Expresses anger or threat; oh:<br>Expresses impatience; oh, ah:<br>Expresses confirmation of a fact; oh, ah:<br>Expresses desire against; oh, ah:<br>Answer word, can be either positive or negative; eh, meh:<br>Answer word of indifference; meh:<br><br>α interjection<br>(colloquial) Contraction of άντε (ánte).
τόσο	τόσο adverb<br>so, such, so much<br><br>τόσο pronoun<br>Accusative singular masculine form of τόσος (tósos).<br>Nominative, accusative and vocative singular neuter form of τόσος (tósos).
σαν	σαν preposition<br>like, as, as if<br>because, as, when
τώρα	τώρα adverb<br>now
αναφέρω	αναφέρω verb<br>mention, present, announce<br>cite, refer
χώρος	χώρος noun<br>area, space, room<br>field
έργο	έργο noun<br>work, project<br>(physics) work (measured in joules)<br>(chemistry, physics) thermodynamic work
περιοχή	περιοχή noun<br>(geography) region, district, area<br>domain
πριν	πριν adverb<br>ago<br>before
οικονομικός	οικονομικός adjective<br>economic, financial, fiscal<br>thrifty, economical
εδώ	εδώ adverb<br>here
εκείνος	εκείνος pronounm  demonstrative m<br>(singular) that<br>(plural) those
κυβέρνηση	κυβέρνηση noun<br>government
περίπτωση	περίπτωση noun<br>case (an actual event, situation, or fact)<br>case (a person being treated for illness or a customer being served in a shop etc)<br>(colloquial, derogatory) oddball, weirdo (a person who behaves strangely)<br>(colloquial) cream of the crop, crème de la crème (an outstanding or excellent case)
τότε	τότε adverb<br>then<br>therefore
κοινωνικός	κοινωνικός adjective<br>social<br>sociable, gregarious
σημαντικός	σημαντικός adjective<br>important, significant, considerable, outstanding, notable
δικός	δικός pronouna possessive adjective<br>(followed by possessive pronoun) mine, yours, his, hers, its, ours, theirs<br>(usually preceded by the article and followed by possessive pronoun) my, your, his, her, its, our, their (emphatic form)
όσος	όσος pronounm  relative<br>as many as, as much as
δημόσιος	δημόσιος adj<br>public
λίγος	λίγος adjective<br>a little, a few, a bit of
τέλος	τέλος noun<br>end, finish
αποτέλεσμα	αποτέλεσμα noun<br>result, outcome (sport, election, etc)<br>effect
έρχομαι	έρχομαι verb<br>(most senses) come<br>cost<br>(with σε) come to<br>(with genitive weak pronoun before) suit (go well with)<br>(with genitive weak pronoun before and followed by να) feel like, get the urge (to have a desire for)
ούτε	ούτε conjunction<br>neither, nor<br>neither … nor<br>nor even, not even
αρχή	αρχή noun<br>origin, beginning<br>principle<br>authority<br>government authorities (as plural)
ώρα	ώρα noun<br>hour (1/24 of a day)<br>time (A quantity of availability in time, time of day as indicated by a clock, some specific time, right time, time for something)
σχέση	σχέση noun<br>relationship (personal)<br>relation, connection<br>relationship (between two things)<br>(automotive) gear, ratio (a particular combination or choice of interlocking gears)
μαζί	μαζί adverb<br>(place) together, with (takes the genitive case)<br>(time) together, along with, at the same time
ευρώ	ευρώ noun<br>(finance) euro (the currency)
πρόγραμμα	πρόγραμμα noun<br>schedule (timed plan of events)<br>program (of events)<br>calendar (future events for theatre etc)<br>broadcast
αφού	αφού conjunction<br>after (having done something)<br>since
πάνω	πάνω adverb<br>above, on, up, upstairs
ε	ε interjection<br>(colloquial) hey, oi (said to get someone's attention)<br>eh, huh (used as a tag question, emphasising what goes before or to request that the listener express an opinion about what has been said)<br>(colloquial) eh, huh, what, pardon (in isolation, request for repetition or clarification of what has just been said)<br>I wish, if only (expressing a wish or hope)<br>(colloquial) oh, just (to precede an offhand or annoyed remark)<br>(colloquial) oh (expression of wonder, amazement, or awe)<br>(repeatedly and drawn out) um, er (implying hesitation)
σύστημα	σύστημα noun<br>system
καλά	καλά adjective<br>Nominative, accusative and vocative plural neuter form of καλός (kalós).<br><br>καλά adverb<br>well
στιγμή	στιγμή noun<br>(time) moment, instant, jiffy<br>(typography) point (unit)<br>(typography, linguistics) full stop
μεταξύ	μεταξύ adverb<br>between, amongst, amid (place)<br>between, meanwhile (time)
δημιουργώ	δημιουργώ verb<br>create, make, build, generate
σύμφωνα	σύμφωνα adverb<br>accordingly, in accordance with, according to<br><br>σύμφωνα adjective<br>Nominative, accusative and vocative plural neuter form of σύμφωνος (sýmfonos).<br><br>σύμφωνα nounn<br>Nominative, accusative and vocative plural form of σύμφωνο (sýmfono).
ώστε	ώστε conjunction<br>so that, so, in order that, in order for (with the result that)<br>so that, so, therefore (with the result that)<br>(at the start of clauses) so (consequently, therefore)
αγώνας	αγώνας noun<br>fight, efforts, struggle<br>(capitalised): the Greek War of Independence<br>(sports) race, game, match<br>(plural): the Games
χρησιμοποιώ	χρησιμοποιώ verb<br>use, employ, put to use, utilise<br>employ (someone)
ποιος	ποιος pronouninterrogative<br>who<br>which<br>(in accusative case) who, whom<br>(in genitive case) whose
δηλαδή	δηλαδή conjunction<br>specifically, namely, that is to say<br>i.e., namely, in other words<br>so, therefore
ξέρω	ξέρω verbfound only in the imperfective tenses<br>(most senses) know of, be familiar with (a fact, a person or a language)<br>(transitive, with για) know someone as, know someone to be
πηγαίνω	πηγαίνω verb<br>Alternative form of πάω (páo): to go
περνάω	περνάω verb<br>Alternative form of περνώ (pernó)
εθνικός	εθνικός adjective<br>national
εκεί	εκεί adverb<br>there
μιλάω	μιλάω verb<br>Alternative form of μιλώ (miló)
τέτοιος	τέτοιος pronounm  demonstrative<br>such, like, like that
θεωρώ	θεωρώ verb<br>consider, regard<br>scrutinise<br>validate (a document)<br>examine a text to make corrections.
μέλος	μέλος noun<br>member (of organisation, group, etc)<br>(anatomy) limb, body member
στοιχείο	στοιχείο noun<br>unit, element, cell (a portion of a whole)
λοιπόν	λοιπόν conjunction<br>so, therefore, right, well, then (introduces a logical conclusion)<br>so, anyway (changing the subject or introducing a new topic)<br>(colloquial) so, then
μέρος	μέρος noun<br>(most senses) part (a fraction of a whole)<br>place (an area; somewhere within an area)<br>(music) movement, part<br>party, side (group of people forming one side in a given dispute)<br>(euphemistic) loo, privy, commode, lavatory (toilet)
αφορώ	αφορώ verbfound only in the present and imperfect tenses<br>see: αφορά (aforá) (mainly impersonal)
πόλη	πόλη noun<br>town, city<br>townspeople
υπηρεσία	υπηρεσία noun<br>service<br>service (the army, police, etc)<br>service (to the public)
ξεκινάω	ξεκινάω verb, contracted: ξεκινώ<br>(intransitive) start out, start off, set off, pull away<br>(transitive) start, commence
απόφαση	απόφαση noun<br>decision, ruling, verdict, judgement, resolution
μέρα	μέρα noun<br>Alternative form of ημέρα (iméra)
χρειάζομαι	χρειάζομαι verb<br>need, require
πρόεδρος	πρόεδρος noun<br>chairman<br>president
γνωρίζω	γνωρίζω verb<br>know (something), be aware<br>know (someone); get to know, meet<br>introduce, make acquaintance
εργασία	εργασία noun<br>job, profession, work<br>task
εν	εν preposition<br>in, at, within
ημέρα	ημέρα noun<br>day<br>hours of daylight
δήμος	δήμος noun<br>(historical) people, common people (the body of citizens of a city-state in ancient Greece)<br>common people<br>(historical) deme (a subdivision of ancient Attica)<br>municipality, deme
ειδικός	ειδικός adjective<br>special, particular, specific (thing, person, etc)<br>expert, specialist (knowledge, experience, etc)<br><br>ειδικός noun<br>specialist
πράγμα	πράγμα noun<br>thing, entity, object<br>stuff<br>(euphemistic) thingy (the penis or vagina)
συνεχίζω	συνεχίζω verb<br>continue, keep going, carry on
ευρωπαϊκός	ευρωπαϊκός adjective<br>European (pertaining to Europe, its people or the European Union)
γράφω	γράφω verb<br>write, pen<br>record<br>ticket (for a violation of a local or traffic law)
πλέον	πλέον adverb<br>already<br>from now on<br>more than
ανάπτυξη	ανάπτυξη noun<br>growth, development, improvement
ζητάω	ζητάω verb<br>ask for, request<br>seek, look for<br>(passive, informal) I am in demand, sought-after
ιστορία	ιστορία noun<br>history<br>story<br>love affair
κατάσταση	κατάσταση noun<br>state, condition<br>situation
ανάγκη	ανάγκη noun<br>(most senses) necessity<br>(most senses) need, want, demand<br>(euphemistic) call of nature (need for urination or defecation)
δείχνω	δείχνω verb<br>indicate, point out, point to<br>demonstrate, show how<br>(intransitive) seem
γεγονός	γεγονός noun<br>event, fact, occurrence
λίγο	λίγο adjective<br>Accusative singular masculine form of λίγος (lígos).<br>Nominative, accusative and vocative singular neuter form of λίγος (lígos).<br><br>λίγο adverb<br>a little
στόχος	στόχος noun<br>(archery) target<br>aim, intent
πάντα	πάντα adverb<br>always<br><br>πάντα nounn<br>Nominative, accusative and vocative plural form of παν (pan).<br><br>πάντα pronoun<br>(archaic) Accusative singular masculine form of πας (pas).<br>(archaic) Nominative plural neuter form of πας (pas).<br>(archaic) Accusative plural neuter form of πας (pas).<br>(archaic) Vocative plural neuter form of πας (pas).<br><br>πάντα noun<br>(zoology) panda<br><br>πάντα noun<br>(anatomy) side (of body)<br>(music) band
δύναμη	δύναμη noun<br>power, force, strength, brawn<br>(military) force<br>(physics) force
τρεις	τρεις three
αγορά	αγορά noun<br>(historical) agora, the ancient square or marketplace, the centre of public life<br>marketplace, market<br>purchase<br>commerce, trade
συγκεκριμένος	συγκεκριμένος adjective<br>concrete (not abstract)<br>specific (not vague)
φαίνομαι	φαίνομαι verb<br>seem, appear<br>appear
απο	απο preposition<br>(position): from<br>(source, origin): from<br>(time): from, at, by, since<br>(cause): by, with, from<br>(measurement): from<br>(state): from<br>(arithmetic): out of, from
δεύτερος	δεύτερος adjective<br>second (ordinal numeral)<br>inferior, seconds
λόγω	λόγω preposition<br>(formal) because of, due to, owing to, on account of (as a consequence of)
κύριος	κύριος noun<br>mister (title conferred on an adult male)<br>master (someone who has control over something or someone)<br>sir (an address to any male)<br><br>κύριος adjective<br>main, principal, most important
εκτός	εκτός adverb<br>except<br>out, outside
αφήνω	αφήνω verb<br>leave, allow, let, let go, let go of, drop, drop off, abandon
παρά	παρά preposition<br>despite, in spite of
ήδη	ήδη adverb<br>already (prior to some time)<br>by now, by this time
κράτος	κράτος noun<br>state, sovereign country
εταιρεία	εταιρεία noun<br>association, society<br>(finance) company
παίζω	παίζω verb<br>play (with toys, to have fun)<br>(sports) play<br>(music) play<br>(theater) act, play<br>gamble, play, bet<br>play, fiddle,fidget<br>(card games, chess, etc) play, move (a game, a card, a piece, etc)
αρχίζω	αρχίζω verb<br>start, begin
πολίτης	πολίτης noun m (pl πολιτές, f πολίτις)<br>citizen<br>civilian (not in the church or army)
παιχνίδι	παιχνίδι noun<br>toy<br>game, match<br>television game show<br>trick, deceit
μήνας	μήνας noun<br>month
γυναίκα	γυναίκα noun<br>woman<br>wife
διαδικασία	διαδικασία noun<br>procedure, process, method, protocol<br>(computing) function, subroutine, procedure
επίπεδο	επίπεδο noun<br>(geometry) plane, level<br>standard, level<br><br>επίπεδο adjective<br>Accusative singular masculine form of επίπεδος (epípedos).<br>Nominative, accusative and vocative singular neuter form of επίπεδος (epípedos).
χάνω	χάνω verb<br>lose<br>miss, not have
πιστεύω	πιστεύω verb<br>believe<br>believe in<br><br>πιστεύω noun<br>belief
παρουσιάζω	παρουσιάζω verb<br>present, introduce, show, submit
είτε	είτε conjunction<br>(generally doubled) either...or, whether..or
κρίση	κρίση noun<br>(law) judgment, opinion, verdict<br>judgement, discretion<br>crisis
έτος	έτος noun<br>year<br>volume (issues of a periodical over a period of one year)
Αθήνα	Αθήνα noun f<br>Athens
επί	επί preposition<br>(with genitive) on, upon<br>(mathematics) times
μέτρο	μέτρο noun<br>measure<br>(SI base unit, sciences, engineering) metre (universal), meter (US)<br>(music, poetry) metre (UK), meter (US)<br>moderation
γνωστός	γνωστός adjective<br>known<br>familiar<br><br>γνωστός noun<br>acquaintance, a person whom one knows; a familiar
οδηγώ	οδηγώ verb<br>drive (direct a vehicle)<br>drive, guide, lead
φέρω	φέρω verb<br>bear, carry (decoration, injuries, scars)
Έλληνας	Έλληνας noun m (pl Έλληνες, f Ελληνίδα)<br>a Greek person
μάλιστα	μάλιστα adverb<br>yes, certainly, ok, of course, right you are, okey-dokey (acknowledging that a request has been heard and understood)
επειδή	επειδή conjunction<br>for, because
μέσω	μέσω preposition<br>via (by way of)<br>via, through (by means of)
προσπάθεια	προσπάθεια noun<br>attempt (the action of trying at something)
πολιτική	πολιτική noun<br>(politics) politics, policy<br><br>πολιτική adjective<br>Nominative, accusative and vocative singular feminine form of πολιτικός (politikós).
ακούω	ακούω verb<br>(transitive) hear<br>(transitive) listen, listen to<br>(intransitive) hear (to have the ability to hear)
κέντρο	κέντρο noun<br>centre (UK), center (US): the middle of something or somewhere<br>centre (building, institution, club, etc)<br>(geometry) centre<br>(figuratively) centre (the focus or concentrated point)
κοινωνία	κοινωνία noun<br>community<br>society, communion (a group of people with a shared culture)<br>(Christianity) communion
λαμβάνω	λαμβάνω verb<br>get, receive<br>take<br>(figuratively) understand, get
λαός	λαός noun<br>people, the mass of a community as distinguished from a special class (elite); the commonalty; the populace; the vulgar; the common crowd; the citizens.
επόμενος	επόμενος adjective<br>next, following
δρόμος	δρόμος noun<br>roadway, road, street, way<br>journey
απλά	απλά adverb<br>simply<br><br>απλά adjective<br>Nominative, accusative and vocative plural neuter form of απλός (aplós).
επιχείρηση	επιχείρηση noun<br>operation, attempt, undertaking<br>business, firm, company
ακολουθώ	ακολουθώ verb<br>follow, pursue<br>follow, come next<br>go with, escort<br>follow, listen to
προσπαθώ	προσπαθώ verb<br>attempt, try
ποτέ	ποτέ adverb<br>never (when used with the negative)<br>ever, at any time (emphatic)
περίοδος	περίοδος noun<br>period, phase, epoch<br>period, season<br>(chemistry) period in the periodic table<br>(medicine) period, menstruation<br>(grammar, rhetoric) period of sentences<br>(music) period of phrases
βάση	βάση noun<br>base, foundation (the lowest part of something)<br>(chemistry) base<br>basis (underlying reason)<br>base (the lowest part of something)
βέβαια	βέβαια adverb<br>certainly, of course<br><br>βέβαια interjection<br>really (used ironically)<br><br>βέβαια adjective<br>Nominative, accusative and vocative singular feminine form of βέβαιος (vévaios).<br>Nominative, accusative and vocative plural neuter form of βέβαιος (vévaios).
λειτουργία	λειτουργία noun<br>(religion) liturgy<br>function (manner of operation)
άρθρο	άρθρο noun<br>(grammar) article<br>(journalism) article<br>article of a charter, law, contract etc.
υπουργός	υπουργός noun<br>(government) minister, secretary (politician who heads a ministry or department)
πρόκειται	πρόκειται για(impersonal)<br>it's about<br><br>πρόκειται να<br>be going to<br>are probably going to
βιβλίο	βιβλίο noun<br>book
σημείο	σημείο noun<br>sign, mark<br>spot, place<br>(mathematics) point
ζω	ζω (έζησα)<br>live<br>(figurate) live on, endure<br>(transitive) support, sustain
φτάνω	φτάνω verb<br>arrive<br>come, be imminent, draw near, near<br>reach, stretch, come up to, extend<br>be reduced to, come to, end up<br>be enough, suffice<br>equal, rival, touch<br>amount to, come to
μένω	μένω verb<br>(intransitive) stay, reside, live (somewhere)<br>(copulative) stay, remain (in a condition)<br>(intransitive) remain, be left over<br>(transitive) fail (examination)
δικαίωμα	δικαίωμα noun<br>(law) right, entitlement<br>right, warrant, authority, power
εποχή	εποχή noun<br>age, epoch, season<br>(philosophy) epoche (the suspension of judgment)
μόνος	μόνος adjective<br>solitary, alone<br>unmarried<br>solo, unaccompanied<br>unique, singular<br>(when used with article) only
προσφέρω	προσφέρω verb<br>offer, propose<br>give, present
πλαίσιο	πλαίσιο noun<br>frame, framework, casing (of construction, etc)<br>(figuratively) context, scope
διάρκεια	διάρκεια noun<br>(time): duration, length
σπίτι	σπίτι noun<br>(also used adverbially) house, home (structure built or serving as an abode of human beings)<br>(by extensions) household, house (all the persons who live in a given house)<br>(euphemistic, figuratively) brothel (house used by prostitutes)
γι	γι preposition<br>Misspelling of γι' (gi'), a contraction of για.
κυρίως	κυρίως adverb<br>mainly, chiefly
κόμμα	κόμμα noun<br>(grammar, typography) comma, the “,”<br>(mathematics) a decimal point<br>(politics) a political party
δ	δ noun<br>Abbreviation of δεσποινίς (despoinís): Miss
δηλώνω	δηλώνω verb<br>state, declare<br>profess, declare<br>certify<br>admit<br>reveal, manifest
πώς	πώς adverb<br>(interrogative) how (in what way or manner; in what state; to what extent)
άτομο	άτομο noun<br>person, individual<br>(physics, chemistry) atom (smallest particle of an element)
γενικός	γενικός adjective<br>general, unspecific.
θεός	θεός noun<br>(religion) god (supreme being or a supernatural, typically immortal, being with superior powers)<br>Alternative letter-case form of Θεός (Theós).<br>(figuratively) god, idol (something or someone particularly revered, worshipped, idealized, admired and/or followed)<br>(figuratively, colloquial) god, Greek god (exceedingly handsome man)
δυνατός	δυνατός adjective<br>strong, loud<br>strong, powerful<br>possible, potential
τμήμα	τμήμα noun<br>(business) department, division, section, branch
φίλος	φίλος noun<br>friend<br>boyfriend<br>acquaintance<br><br>φίλος adjective<br>friendly<br>dear<br>beloved (obsolete, literary)
βασικός	βασικός adjective<br>basic, fundamental, primary
ψηλός	ψηλός adjective<br>tall<br>high
υγεία	υγεία noun<br>health
διεθνής	διεθνής adjective<br>international<br><br>διεθνής noun<br>(sports) international, international player (who has been a member of a national team)
ίσως	ίσως adverb<br>maybe, perhaps
συνέχεια	συνέχεια adverb<br>continuously, nonstop (without pause)<br>continuously, consecutively (without break)<br><br>συνέχεια noun<br>continuation, continuity, continuance (the quality of being continuous without interruption)<br>continuation, rest (that which extends, increases, supplements, or carries on)<br>(in the plural following σε) bits and pieces, little by little, bit by bit (information or parts presented gradually but still making up a cohesive whole)<br>(typography) hyphen (The symbol "‐", typically used to join two or more words to form a compound term)<br>(medicine) symphysis (cartilaginous material that adjoins and facilitates the junction of bones)
αλλάζω	αλλάζω verb<br>change, alter (appearance, content or substance of something)
χρήση	χρήση noun<br>use, application, usage
επιτροπή	επιτροπή noun<br>panel, committee<br>commission
εκ	εκ preposition<br>suggesting source or origin, of, by
τιμή	τιμή noun<br>honour, virtue, reputation<br>pride<br>(mathematics, computing) the value of a variable<br>(economics, finance) the price or value of an asset
προϊόν	προϊόν noun<br>product, produce, yield<br>(usually in the plural) goods, products<br><br>προϊόν adjective<br>Nominative, accusative and vocative singular neuter form of προϊών (proïón).
κάτω	κάτω adverb<br>down<br>below<br>beneath
ενέργεια	ενέργεια noun<br>(physics) energy<br>action
